date,Location,Layer,Variable,Value
7/11/2013,southsibuyan,1,Temp,11.02846753
7/11/2013,southsibuyan,1,Sal,15323.98701
7/11/2013,southsibuyan,1,Velu,-3.519480519
7/11/2013,southsibuyan,1,Velv,0.922077922
7/11/2013,sibuyan,0,Temp,28.98792143
7/11/2013,sibuyan,0,Sal,14413.33571
7/11/2013,sibuyan,0,Velu,-111.1714286
7/11/2013,sibuyan,0,Velv,68.37857143
7/11/2013,sibuyan,1,Temp,10.55518182
7/11/2013,sibuyan,1,Sal,14953.64935
7/11/2013,sibuyan,1,Velu,-1.363636364
7/11/2013,sibuyan,1,Velv,0.441558442
7/11/2013,tablas,0,Temp,28.7284
7/11/2013,tablas,0,Sal,14349.97143
7/11/2013,tablas,0,Velu,-67.94285714
7/11/2013,tablas,0,Velv,15.76428571
7/11/2013,tablas,1,Temp,13.16743878
7/11/2013,tablas,1,Sal,15312.38776
7/11/2013,tablas,1,Velu,-0.265306122
7/11/2013,tablas,1,Velv,12.46938776
7/11/2013,surigao,0,Temp,28.46783333
7/11/2013,surigao,0,Sal,14378.19048
7/11/2013,surigao,0,Velu,-301.3452381
7/11/2013,surigao,0,Velv,-31.24404762
7/11/2013,surigao,1,Temp,11.96664286
7/11/2013,surigao,1,Sal,14834.97619
7/11/2013,surigao,1,Velu,4.976190476
7/11/2013,surigao,1,Velv,-4.416666667
7/11/2013,Mindoro,0,Temp,28.88554422
7/11/2013,Mindoro,0,Sal,14100.72789
7/11/2013,Mindoro,0,Velu,-197.3809524
7/11/2013,Mindoro,0,Velv,407.9455782
7/11/2013,Mindoro,1,Temp,8.180746032
7/11/2013,Mindoro,1,Sal,14831.68254
7/11/2013,Mindoro,1,Velu,4
7/11/2013,Mindoro,1,Velv,-4.206349206
2/18/2016,Visayan,0,Temp,26.36417857
2/18/2016,Visayan,0,Sal,14440.72857
2/18/2016,Visayan,0,Velu,-161.9642857
2/18/2016,Visayan,0,Velv,24.25714286
2/18/2016,southsibuyan,0,Temp,26.48455714
2/18/2016,southsibuyan,0,Sal,14619.95714
2/18/2016,southsibuyan,0,Velu,-129.3785714
2/18/2016,southsibuyan,0,Velv,33.63571429
2/18/2016,southsibuyan,1,Temp,15.87496104
2/18/2016,southsibuyan,1,Sal,16842.19481
2/18/2016,southsibuyan,1,Velu,-0.688311688
2/18/2016,southsibuyan,1,Velv,-1.909090909
2/18/2016,sibuyan,0,Temp,26.46651429
2/18/2016,sibuyan,0,Sal,14587.91429
2/18/2016,sibuyan,0,Velu,-94.60714286
2/18/2016,sibuyan,0,Velv,26.26428571
2/18/2016,sibuyan,1,Temp,12.4994026
2/18/2016,sibuyan,1,Sal,15843.19481
2/18/2016,sibuyan,1,Velu,-2.753246753
2/18/2016,sibuyan,1,Velv,5.064935065
2/18/2016,tablas,0,Temp,26.30322143
2/18/2016,tablas,0,Sal,14482.72143
2/18/2016,tablas,0,Velu,-76.25714286
2/18/2016,tablas,0,Velv,-30.77142857
2/18/2016,tablas,1,Temp,11.97105102
2/18/2016,tablas,1,Sal,14995.81633
2/18/2016,tablas,1,Velu,1.06122449
2/18/2016,tablas,1,Velv,-4.204081633
2/18/2016,surigao,0,Temp,27.19561905
2/18/2016,surigao,0,Sal,14560.35119
2/18/2016,surigao,0,Velu,-301.0416667
2/18/2016,surigao,0,Velv,-78.88690476
2/18/2016,surigao,1,Temp,8.857797619
2/18/2016,surigao,1,Sal,14356.28571
2/18/2016,surigao,1,Velu,-7.952380952
2/18/2016,surigao,1,Velv,5.023809524
2/18/2016,Mindoro,0,Temp,27.43068027
2/18/2016,Mindoro,0,Sal,13749.44898
2/18/2016,Mindoro,0,Velu,123.122449
2/18/2016,Mindoro,0,Velv,-300.5170068
2/18/2016,Mindoro,1,Temp,8.439619048
2/18/2016,Mindoro,1,Sal,14865.7619
2/18/2016,Mindoro,1,Velu,2.682539683
2/18/2016,Mindoro,1,Velv,-15.88888889
12/7/2013,Visayan,0,Temp,28.30658571
12/7/2013,Visayan,0,Sal,13895.63571
12/7/2013,Visayan,0,Velu,-144.05
12/7/2013,Visayan,0,Velv,40.73571429
12/7/2013,southsibuyan,0,Temp,28.47179286
12/7/2013,southsibuyan,0,Sal,14017.17143
12/7/2013,southsibuyan,0,Velu,-139.7571429
12/7/2013,southsibuyan,0,Velv,-42.36428571
12/7/2013,southsibuyan,1,Temp,12.65167532
12/7/2013,southsibuyan,1,Sal,15423.55844
12/7/2013,southsibuyan,1,Velu,-2.402597403
12/7/2013,southsibuyan,1,Velv,-0.428571429
12/7/2013,sibuyan,0,Temp,28.25709286
12/7/2013,sibuyan,0,Sal,14008.94286
12/7/2013,sibuyan,0,Velu,-188.2357143
12/7/2013,sibuyan,0,Velv,-22.92142857
12/7/2013,sibuyan,1,Temp,11.60993506
12/7/2013,sibuyan,1,Sal,15205.55844
12/7/2013,sibuyan,1,Velu,-0.597402597
12/7/2013,sibuyan,1,Velv,0.818181818
12/7/2013,tablas,0,Temp,28.29560714
12/7/2013,tablas,0,Sal,13906.22143
12/7/2013,tablas,0,Velu,-93.19285714
12/7/2013,tablas,0,Velv,-259.1571429
12/7/2013,tablas,1,Temp,11.8392551
12/7/2013,tablas,1,Sal,14891.97959
12/7/2013,tablas,1,Velu,-1.693877551
12/7/2013,tablas,1,Velv,20.46938776
12/7/2013,surigao,0,Temp,28.8411131
12/7/2013,surigao,0,Sal,14178.67262
12/7/2013,surigao,0,Velu,-250.3333333
12/7/2013,surigao,0,Velv,-182.5892857
12/7/2013,surigao,1,Temp,9.474702381
12/7/2013,surigao,1,Sal,14445.08333
12/7/2013,surigao,1,Velu,-5
12/7/2013,surigao,1,Velv,-1.226190476
12/7/2013,Mindoro,0,Temp,28.42237415
12/7/2013,Mindoro,0,Sal,13677.87075
12/7/2013,Mindoro,0,Velu,-112.6190476
12/7/2013,Mindoro,0,Velv,-187.8367347
12/7/2013,Mindoro,1,Temp,8.15368254
12/7/2013,Mindoro,1,Sal,14805.07937
12/7/2013,Mindoro,1,Velu,-4.682539683
12/7/2013,Mindoro,1,Velv,1.19047619
8/28/2017,Visayan,0,Temp,29.40858929
8/28/2017,Visayan,0,Sal,14016.56071
