"date","lab","MatarianoBayin_surface_elevation","MatarianoBayin_water_temp_0","MatarianoBayin_salinity_0","MatarianoBayin_velocity_u_0","MatarianoBayin_velocity_v_0","MatarianoBayin_pr_wtr","MatarianoBayin_precipitationCal","MatarianoBayfar_surface_elevation","MatarianoBayfar_water_temp_0","MatarianoBayfar_salinity_0","MatarianoBayfar_velocity_u_0","MatarianoBayfar_velocity_v_0","MatarianoBayfar_water_temp_100","MatarianoBayfar_salinity_100","MatarianoBayfar_velocity_u_100","MatarianoBayfar_velocity_v_100"
"2008-08-21",FALSE,971.678571428571,"14078.2142857143","8861.14285714286","45.6785714285714","-26.4642857142857",51.478572845459,0.205288857221603,969.321428571429,"14043.0535714286","9142.19642857143","53.0714285714286","17.5714285714286","14600.1428571429","6220.25","99.9642857142857","-260.946428571429"
"2008-08-28",FALSE,943.321428571429,"14126.8928571429","8675.25","-28.3571428571429","-21.7142857142857",46.9928588867188,0.172488659620285,935.857142857143,"14104.9107142857","8927.71428571429","35.9821428571429","-69.9821428571429","14409.4464285714","6397.48214285714","134.428571428571","-277.839285714286"
"2008-09-04",FALSE,940.571428571429,"14142.25","9094","1267.64285714286","1984.78571428571",46.2321434020996,0.272447891533375,932.196428571429,"14124.875","9307.94642857143","1278.60714285714","1896.33928571429","14506.1785714286","6357.17857142857","1020.35714285714","1790.08928571429"
"2008-09-11",FALSE,999.571428571429,"14158.3214285714","9189.89285714286","2.64285714285714","-32.3214285714286",52.4642868041992,0.507086075842381,992.821428571429,"14116.8928571429","9346.57142857143","-9.96428571428571","-61","14468.8035714286","6749.23214285714","199.821428571429","-275.785714285714"
"2008-09-18",FALSE,962.25,"14289.8928571429","9137.71428571429","1323.67857142857","2017.21428571429",53.1214294433594,0.33119548112154,960.339285714286,"14303.0178571429","9370.67857142857","1384.32142857143","1961.23214285714","14718.5178571429","6797.25","1171.21428571429","1903.46428571429"
"2008-09-25",FALSE,939.821428571429,"14358.3214285714","9151.96428571429","64.7142857142857","-34.2142857142857",53.1428565979004,0.249827399849892,940.160714285714,"14286.9821428571","9302.41071428571","116.839285714286","-107.964285714286","14758.0892857143","6378.60714285714","192.964285714286","-203.767857142857"
"2008-10-02",FALSE,938.678571428571,"14280.9642857143","8890.14285714286","22.2857142857143","-27.8214285714286",50.5357131958008,0.581408709287643,938.428571428571,"14260.0535714286","8972.64285714286","33.3214285714286","-127","14613.9464285714","6601.98214285714","156.571428571429","-240.178571428571"
"2008-10-09",FALSE,914.571428571429,"14242.1071428571","9045.5","-6.78571428571429","-35.1071428571429",45.6857147216797,0.690878167748451,906.946428571429,"14220.7678571429","9173.41071428571","-6.07142857142857","-145.660714285714","14498.9107142857","6181.89285714286","176.517857142857","-317.589285714286"
"2008-10-16",FALSE,904.285714285714,"14212.75","9139.75","-19.8214285714286","-3.39285714285714",46.2250022888184,0.218002980574965,906.589285714286,"14159.7857142857","9272.91071428571","-60.0178571428571","61.75","14582.2142857143","6319.83928571429","159.785714285714","-179.142857142857"
"2008-10-23",FALSE,854.642857142857,"14206.75","9134.21428571429","-66.6785714285714","45.9642857142857",43.6357154846191,0.212306719273329,859.892857142857,"14172.8928571429","9256.625","-158.660714285714","368","14659.6428571429","6091.35714285714","87.0535714285714","6.08928571428571"
"2008-10-30",FALSE,872.571428571429,"14239.6785714286","8903.46428571429","1167.64285714286","2065.32142857143",48.4678573608398,0.691503509879112,872.875,"14187.4285714286","9142.03571428571","1110.03571428571","2420.48214285714","14674.8214285714","5842.875","881.5","2038.07142857143"
"2008-11-06",FALSE,884.357142857143,"14131.5714285714","8865.17857142857","1177.60714285714","2046.71428571429",44.9607124328613,1.19043451547623,878.785714285714,"14118.9642857143","9012.55357142857","1080.73214285714","2125.89285714286","14597.9821428571","5484.78571428571","929.392857142857","1933.53571428571"
"2008-11-13",FALSE,882.714285714286,"14177.5714285714","8691.03571428571","1207.25","2000.67857142857",53.1892852783203,0.833586096763611,871.589285714286,"14221.5178571429","8997.28571428571","1226.03571428571","1883.98214285714","14699.6964285714","6146.67857142857","1077.26785714286","1864.21428571429"
"2008-11-20",FALSE,930.571428571429,"14156.7857142857","8799.92857142857","-47.3571428571429","-56.5",49.0428581237793,0.767842084169388,919.321428571429,"14156.75","8761.375","-80.5535714285714","-233.214285714286","14613.3928571429","6728.33928571429","207.428571428571","-265.803571428571"
"2008-11-27",FALSE,935.5,"14185.4285714286","8719","-80.6071428571429","-38.3214285714286",48.1214256286621,0.171116560697556,926.696428571429,"14213.875","8938.92857142857","-80.7857142857143","-246.196428571429","14479.1964285714","6778.625","229.25","-382.839285714286"
"2008-12-04",FALSE,919.285714285714,"14189.4285714286","8901.39285714286","-50.3928571428571","-14.8214285714286",50.6321449279785,0.259771335870028,919.339285714286,"14130.1428571429","9024.76785714286","-92.8571428571429","-124.375","14582.5178571429","6822.10714285714","197.267857142857","-307.321428571429"
"2008-12-11",FALSE,940.928571428571,"14216.2857142857","9192.39285714286","1286.57142857143","2026.21428571429",53.9142875671387,1.24823248386383,941.625,"14254.2678571429","9356.58928571429","1279.625","1971.17857142857","14639.1071428571","6895.23214285714","1138.25","1846.42857142857"
"2008-12-18",FALSE,926.214285714286,"14400.1071428571","9159.10714285714","-52.1785714285714","-4.21428571428571",44.1178588867188,0.00115858000230773,939.535714285714,"14378.75","9412.17857142857","-124.928571428571","44.7678571428571","14674.5357142857","7637.96428571429","12.1964285714286","-36.2321428571429"
"2008-12-25",FALSE,944.642857142857,"14373.7142857143","8957.64285714286","-111.964285714286","-1.21428571428571",45.4821434020996,1.27974623441696,945.892857142857,"14361.5","9072.25","-163.214285714286","-37.7142857142857","14590.8928571429","7599.94642857143","102","-178.142857142857"
"2009-01-01",FALSE,908.464285714286,"14267.5357142857","8412.96428571429","-119","-15.6785714285714",48.2249984741211,0.742811873555183,907.571428571429,"14272.3214285714","8828.48214285714","-214.517857142857","217.714285714286","14540.9821428571","7129.01785714286","42.9285714285714","-58.625"
"2009-01-08",FALSE,877.535714285714,"14181.6785714286","8267.64285714286","-63.5357142857143","-92.8928571428571",56.7749977111816,1.39357885718346,863.464285714286,"14310.5714285714","8335.07142857143","-126.446428571429","-242.232142857143","14538.3392857143","7050.44642857143","151.714285714286","-175.714285714286"
"2009-01-15",FALSE,892.357142857143,"14242.4642857143","7968","1056.89285714286","1945.03571428571",49.9750022888184,1.16346523165703,872.410714285714,"14258.5357142857","8114.21428571429","987.875","1801.35714285714","14586.0178571429","6642","1185.39285714286","1942.875"
