"","mindorosal","mindorotemp","sibuyantemp","sibuyansal","sibuyanvelu","sibuyanvelv","southsibuyansal","southsibuyantemp","southsibuyanvelu","southsibuyanvelv","surigaosal","surigaotemp","surigaovelu","surigaovelv","tablassal","tablastemp","tablasvelu","tablasvelv","visayansal","visayantemp","visayanvelu","visayanvelv","mindorovelu","mindorovelv"
"37",13650.7255332309,27.6956884543195,26.6709032618108,14220.7163477523,-152.16811939839,0.536216491193422,14147.4706506839,26.8000031795731,-149.379964550146,-0.281577665369554,14292.5808815228,27.3144106832656,-411.955393973628,-188.625929465292,14111.8086274992,26.4985294308657,-114.716761712699,-143.057057849637,14340.9508269686,26.8440421892587,-177.286387845338,11.5916281817163,-15.1680024948756,-88.6535470272523
"38",13654.5468267222,27.6911654870484,26.6659806029734,14223.3795190113,-152.271754212154,0.971137901981912,14149.2285316139,26.7915814374519,-149.319064043043,0.416437359274954,14293.9625096259,27.3061626026748,-414.485627691568,-189.727958191343,14114.5956246654,26.4916226269782,-114.614644012918,-141.96304625098,14342.5196570436,26.839039489898,-177.931788609346,12.0988525777622,-17.7735811712443,-86.2200382392291
"39",13658.3986450721,27.6875134553214,26.6622782869054,14226.0366944639,-152.382599151091,1.41713584900974,14150.9737733786,26.7842677848195,-149.250767137894,1.12339066361332,14295.3347226357,27.2986181637953,-416.970130723199,-190.804948013197,14117.3657801756,26.4859100056373,-114.507494059538,-140.864561208888,14344.0622446971,26.8350001644992,-178.562093215745,12.6218986978239,-20.4018890130493,-83.7621286621434
"40",13662.2808843065,27.6847394601898,26.6598041445276,14228.6870867316,-152.500708317585,1.87407817345977,14152.7067789568,26.7780730894874,-149.175347193157,1.8386926040806,14296.6970280985,27.2917837453602,-419.407624065401,-191.856213150045,14120.118273173,26.4814013820662,-114.395461051125,-139.762415758388,14345.5788251149,26.8319293101536,-179.177111981601,13.160454794361,-23.051428949474,-81.2809134130187
"41",13666.1934074984,27.6828497163648,26.6585649166335,14231.329910446,-152.626090404054,2.34182947345966,14154.427966978,26.7730072338861,-149.093055202506,2.56175183507828,14298.048939119,27.2856651486522,-421.796840902388,-192.881091238307,14122.8522880344,26.4781055073345,-114.2786731521,-138.657399722401,14347.06964333,26.8298312314283,-179.776635329973,13.7141998349714,-25.7206573403734,-78.7775011205951
"42",13670.1360436073,27.6818495439841,26.6585662447721,14233.9643824814,-152.758708638594,2.82025114420433,14156.1377704941,26.7690791025994,-149.004119449464,3.29197593385061,14299.3899746025,27.2802675913089,-424.136527626472,-193.878943943743,14125.5670146122,26.4760300569764,-114.157237342196,-137.550278928676,14348.5349533266,26.8287094350682,-180.360433884407,14.2828037888664,-28.4079853326895,-76.2530131542761
"43",13674.1085863579,27.6817433613937,26.6598126633244,14236.5897221869,-152.898480795419,3.30920141902752,14157.8366357327,26.7662965709813,-148.908745198098,4.02877202423255,14300.7196594935,27.2755957017415,-426.425444856217,-194.849157547212,14128.2616484744,26.4751816207774,-114.031239298989,-136.441794463281,14349.9750171406,26.8285666255368,-180.928258598211,14.8659279213431,-31.1117802769361,-73.7085828419958
"44",13678.1107931618,27.6825346789537,26.6623075927857,14239.2051516177,-153.045279270109,3.8085354114104,14159.525020836,26.7646664948676,-148.807114420153,4.77154739855308,14302.037525008,27.2716535141736,-428.662368450909,-195.791143503469,14130.9353911429,26.4755656937398,-113.900743313609,-135.332661961492,14351.3901039562,26.8294047014041,-181.479840918394,15.4632250959325,-33.830367202213,-71.1453546777698
"45",13682.1423840813,27.6842260938746,26.6660533342601,14241.8098957655,-153.198931219568,4.31810515791454,14161.2033945851,26.7641947013963,-148.699385558946,5.51971013698082,14303.3431088614,27.2684444643052,-430.846090520277,-196.704338972364,14133.5874503298,26.4771866682398,-113.765792239744,-134.223570936862,14352.780489202,26.8312247525833,-182.014892984111,16.0743400838964,-36.5620303481362,-68.5644835197093
"46",13686.2030408388,27.6868192860914,26.6710510651751,14244.4031827886,-153.359218766539,4.83775966202661,14162.8722351128,26.7648859809469,-148.58569333033,6.27266972360251,14304.6359554904,27.2659713856067,-432.975420428401,-197.588207321879,14136.217040173,26.4800478273853,-113.626407475981,-133.115184149224,14354.1464536458,26.8340270584226,-182.533107859419,16.698909880735,-39.305014752004,-65.9671337792797
"47",13690.2924058721,27.6903150151812,26.6773008362219,14246.9842442398,-153.525879268433,5.36734493890198,14164.5320286057,26.7667440802093,-148.466148560937,7.02983765852955,14305.9156162695,27.2642365062485,-435.049185790738,-198.442238602442,14138.8233814681,26.4841513395825,-113.482588981496,-132.008137012307,14355.4882824898,26.8378110866513,-183.0341598001,17.3365640293621,-42.0575278894498,-63.3544786026045
"48",13694.4100814386,27.6947131183267,26.6848015695247,14249.5523152952,-153.698605650144,5.90670406099374,14166.1832679975,26.76977169639,-148.340838063922,7.79062806533308,14307.1816497213,27.2632414466686,-437.066233463215,-199.265949992016,14141.4057019,26.4894982543187,-113.33431532507,-130.903037041627,14356.8062644692,26.8425754931846,-183.517704554258,17.9869249495956,-44.817741366767,-60.7276990446136
"49",13698.5556287676,27.7000125093302,26.6935510580433,14252.1066349796,-153.877046800455,6.45567720455367,14167.8264516565,26.7739704725638,-148.209824552323,8.55445829311434,14308.4336217216,27.2629872177806,-439.025430522325,-200.05888621147,14143.9632362714,26.4960884991663,-113.18154376735,-129.800463343231,14358.1006909523,26.8483181227859,-183.983379696369,18.649608273606,-47.583792663029,-58.087983236852
"50",13702.7285672651,27.7062111786775,26.703545966208,14254.6464463933,-154.06080803156,7.01410169699155,14169.4620820664,26.7793409941758,-148.073146590167,9.32074951252423,14309.6711056974,27.2634742198259,-440.925665235195,-200.820619909801,14146.4952267296,26.503920878012,-113.024210376234,-128.700966143857,14359.3718550469,26.8550360105868,-184.430804994399,19.3242231869588,-50.353786920064,-55.4365255497629
"51",13706.9283737691,27.7133061946546,26.714781831789,14257.1709969351,-154.249451601126,7.58181206507845,14171.0906645058,26.7858827867002,-147.930818581345,10.0889273050535,14310.8936828199,27.2647022418699,-442.765848018566,-201.550752018782,14149.0009229914,26.5129930705147,-112.86223017525,-127.60506636298,14360.6200507105,26.8627253844622,-184.859582809577,20.0103727748792,-53.1257987782894,-52.7745257502723
"52",13711.1544818597,27.7212937055138,26.7272530689967,14259.6795385262,-154.442497296287,8.15864008398015,14172.7127057242,26.7935943144562,-147.782830796274,10.8584222449239,14312.1009421896,27.2666704619437,-444.544912385671,-202.248912076667,14151.4795825646,26.5233016327921,-112.695497324702,-126.513255227204,14361.8455718691,26.8713816682601,-185.269298528378,20.7076543733648,-55.8978742563484,-50.1031881555014
"53",13715.406281223,27.7301689426882,26.7409529728112,14262.1713278318,-154.639423078834,8.74441482710566,14174.3287126201,26.8024729805867,-147.629149436297,11.6286704729201,14313.2924810163,27.26937744783,-446.261815879988,-202.914758520619,14153.9304709692,26.5348419993372,-112.523885335359,-125.425993927384,14363.048711543,26.8809994858803,-185.659521026186,21.4156599247647,-58.6680326724427,-47.4237207834413
"54",13719.6831170712,27.7399262250516,26.7558737245362,14264.6456264807,-154.839665790825,9.33896271675653,14175.9391909198,26.8125151281966,-147.469716735731,12.3991142615116,14314.4679047913,27.2728211584944,-447.915540994847,-203.547978947546,14156.3528619539,26.5476084861611,-112.347247314413,-124.3437133188,14364.2297609823,26.8915726661994,-186.029803162124,22.1339763374401,-61.4342686051994,-44.737334501423
"55",13723.9842896193,27.750558964218,26.7720063985711,14267.101701285,-155.042621919762,9.94210757556168,14177.5446438609,26.8237160426524,-147.304451101418,13.1692025706265,14315.6268274542,27.2769989461581,-449.505096077917,-204.148290343087,14158.7460377119,26.5615942951618,-112.165416243369,-123.266813664687,14365.3890088129,26.9030942488356,-186.379682304459,22.8621858491159,-64.1945538918644,-42.0452421732218
"56",13728.3090536202,27.7620596708757,26.789340970394,14269.5388244566,-155.247648422374,10.5536706786825,14179.145570881,26.8360699550408,-147.133247289605,13.9383915934483,14316.7688715512,27.2819075590115,-451.029516219565,-204.715439278518,14161.1092890937,26.5767915197114,-111.978205287523,-122.195664423331,14366.5267401945,26.915556490747,-186.708680885955,23.5998663935318,-66.9468396615636,-39.3486578056344
"57",13732.6566179576,27.7744199621486,26.8078663257478,14271.9562738234,-155.454063606023,11.1734708067729,14180.7424663141,26.8495700467811,-146.9559766199,14.7061452916223,14317.8936683878,27.287543144564,-452.487864124142,-205.249202075382,14163.4419158169,26.5931911514585,-111.785408136623,-121.13060407892,14367.6432359902,26.9289508736573,-187.016306988518,24.3465919699945,-69.6890584013351,-36.6487956953651
"58",13737.0261452999,27.7876305699766,26.8275702710182,14274.353333043,-155.661148066643,11.8013242996786,14182.3358180959,26.8642084553885,-146.772487226044,15.4719359192674,14319.0008581737,27.2939012536286,-453.879230963224,-205.74938493769,14165.7432266739,26.6107830883371,-111.586799376266,-120.071940016254,14368.7387719516,26.9432681122988,-187.302054956445,25.1019330154331,-72.4191260525886,-33.946869577062
"59",13741.4167518133,27.8016813505056,26.8484395447926,14276.7292918149,-155.868145682053,12.4370451108595,14183.9261064799,26.8799762813816,-146.582604343163,16.2352445352075,14320.090090161,27.3009768449333,-455.202737209894,-206.215824051576,14168.0125397365,26.6295561437731,-111.382134889567,-119.019948439404,14369.8136179175,26.9584981634642,-187.565406037519,25.8654567785552,-75.1349441356126,-31.2440917733349
"60",13745.8275069369,27.816561294476,26.8704598305872,14279.0834460913,-156.074264659446,13.0804448625191,14185.5138027667,26.8968635963259,-146.386130631123,16.995561502848,14321.1610227749,27.3087642903575,-456.457533453127,-206.648385652327,14170.2491825584,26.6494980570794,-111.171152288574,-117.974874334309,14370.8680370301,26.9746302358584,-187.805829051199,26.6367276957017,-77.8344018997156,-28.5416723475923
